"year","league","division","team","pctGamesWon","avgRunsScored","avgHits","avgTotalBases","avgHomeRuns","avgWalks","avgRunsAllowed","ERA","avgHitsAllowed","avgHomeRunsAllowed","avgWalksAllowed","avgErrors","fieldingPct","leagueWin","worldSeriesWin"
1981,"NL","East","Atlanta Braves",47.17,3.69,8.28,11.87,0.6,3,3.89,3.45,8.75,0.58,3.08,0.95,0.98,"N","N"
1981,"AL","East","Baltimore Orioles",56.19,4.09,8.41,12.7,0.84,3.85,4.16,3.7,8.79,0.79,3.3,0.65,0.98,"N","N"
1981,"AL","East","Boston Red Sox",54.63,4.81,9.74,14.11,0.83,3.5,4.45,3.81,9.1,0.83,3.28,0.84,0.98,"N","N"
1981,"AL","West","Los Angeles Angels",46.36,4.33,8.58,12.74,0.88,3.57,4.12,3.7,8.71,0.74,2.94,0.92,0.98,"N","N"
1981,"AL","Central","Chicago White Sox",50.94,4.49,9.26,13.2,0.72,3.04,3.99,3.47,8.41,0.69,3.17,0.82,0.98,"N","N"
1981,"NL","Central","Chicago Cubs",36.89,3.49,7.91,11.37,0.54,3.23,4.56,4.01,9.27,0.56,3.66,1.07,0.97,"N","N"
1981,"NL","Central","Cincinnati Reds",61.11,4.3,9,12.98,0.59,3.47,4.07,3.73,7.99,0.62,3.64,0.74,0.98,"N","N"
1981,"AL","Central","Cleveland Guardians",50.49,4.18,8.95,11.95,0.38,3.33,4.29,3.88,9.6,0.65,3.02,0.84,0.98,"N","N"
1981,"AL","Central","Detroit Tigers",55.05,3.92,8.46,12.14,0.6,3.71,3.71,3.53,7.71,0.76,3.42,0.61,0.98,"N","N"
1981,"AL","West","Houston Astros",55.45,3.58,8.62,11.94,0.41,3.09,3.01,2.66,7.65,0.36,2.73,0.79,0.98,"N","N"
1981,"AL","Central","Kansas City Royals",48.54,3.85,9.24,13.22,0.59,2.92,3.93,3.56,8.83,0.73,2.65,0.7,0.98,"N","N"
1981,"NL","West","Los Angeles Dodgers",57.27,4.09,8.95,12.75,0.75,3.01,3.24,3.01,8.22,0.49,2.75,0.79,0.98,"Y","Y"
1981,"AL","Central","Minnesota Twins",37.61,3.44,8.04,11.31,0.43,2.5,4.42,3.98,9.28,0.72,3.42,0.87,0.98,"N","N"
1981,"NL","Central","Milwaukee Brewers",56.88,4.52,8.82,13.41,0.88,2.75,4.21,3.91,9.12,0.66,3.23,0.72,0.98,"N","N"
1981,"NL","East","Washington Nationals",55.56,4.1,8.18,12.3,0.75,3.41,3.65,3.3,8.35,0.54,2.48,0.75,0.98,"N","N"
1981,"AL","East","New York Yankees",55.14,3.93,8.31,12.91,0.93,3.65,3.21,2.9,7.73,0.6,2.68,0.67,0.98,"Y","N"
1981,"NL","East","New York Mets",39.81,3.31,8.27,11.86,0.54,2.9,4.11,3.55,8.63,0.7,3.2,1.24,0.97,"N","N"
1981,"AL","West","Oakland Athletics",58.72,4.2,8.35,12.78,0.95,3.14,3.7,3.3,8.1,0.73,3.39,0.74,0.98,"N","N"
1981,"NL","East","Philadelphia Phillies",55.14,4.59,9.36,13.31,0.64,3.48,4.41,4.05,9.04,0.67,3.24,0.8,0.98,"N","N"
1981,"NL","Central","Pittsburgh Pirates",45.1,3.95,8.93,12.83,0.53,2.7,4.13,3.56,9.25,0.58,3.36,0.83,0.98,"N","N"
1981,"NL","West","San Diego Padres",37.27,3.47,8.75,11.81,0.29,2.83,4.14,3.72,9.21,0.58,3.76,0.93,0.98,"N","N"
1981,"AL","West","Seattle Mariners",40.37,3.87,8.64,12.65,0.81,2.99,4.74,4.23,9.45,0.69,3.27,0.83,0.98,"N","N"
1981,"NL","West","San Francisco Giants",50.45,3.85,8.48,12.1,0.57,3.48,3.73,3.28,8.74,0.51,3.54,0.92,0.98,"N","N"
1981,"NL","Central","St. Louis Cardinals",57.84,4.5,9.09,12.95,0.49,3.68,4.05,3.63,8.76,0.5,2.82,0.8,0.98,"N","N"
